Type,Description,Municipality,Community,Update,ExpiryDate,ContractDate,SoldDate,ListPrice,Sold Price,Taxes,StreetName,StNumber,LSC,Days,perc,Bedroom,BedPlus,Baths,Front,ParkingDriveSpaces,Depth,GarageType,Pool,MLS,RemarksForBrokers,RemarksForClients,Extras,Address,PostalCode,Municipality District,Basement1,Basement2
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/16/2021,7/1/2021,3/12/2021,3/14/2021,"$999,900","$1,210,000","$4,920.84",Bartsview,186,Sld,2,121,3,,4,27.76,2,103,Attached,None,N5148707,**********Property Sold Firm - Waiting For Deposit Cheque***********Offers Gratefully Reviewed Thurs Mar 18 3Pm Register By 1Pm. Sellers Kindly Reserves The Right To Review Preemptive Offers. L/B Related To Seller Attach Disclosure. 5% Deposit Bank Draft,"Welcome Home To This Lovely 3 Bedroom Fairgate Manor. With Over 2,300 Square Feet Plus Finished Basement You Will Love The Open Concept Floorpan. Master Bedroom Has Plenty Of Room For A King Size Bed. Master Ensuite Has Double Sinks, Glass Shower, Soaker Tub And Walk In Closet. The Kitchen Has Plenty Of Cupboards And Separate Area For A Coffee Station. The Combined Living And Dining Room Is Able To Change For What Is Important To You.","Finished Basement With Gas Fireplace Is Ready For Movie Night. Laundry Conveniently On The 2nd Floor. This Home Has Great Closet Space. Direct Access To Your Two Car Garage, Maintenance Free Front Yard. Welcome Home",186 Bartsview Circ,L4A0W4,Whitchurch-Stouffville,Finished,
Detached,Bungaloft,Whitchurch-Stouffville,Stouffville,3/23/2021,6/15/2021,3/15/2021,3/22/2021,"$1,050,000","$1,151,000","$5,337.53",Bartsview,71,Sld,7,110,3,,3,48.59,4,89,Built-In,None,N5151303,Please Follow Covid Showing Protocols. Offers If Any To Be Reviewed Monday 22 At 7:00 P.M. Register By 5:00 P.M ( No Preemptive Offers) Please Attach Schedule B And Form 801. Survey Attached In Attachments. Pre- Listing Home Inspection Available For Reference.,"Rarely Offered Bungaloft In Highly Desirable Stouffville! Bright Ground Floor Home Office. Practical Open Concept Layout Featuring 9' Ceilings On Main Level, Great Room With Cozy Gas Fireplace, Private Main Floor Master Bedroom Retreat, 2 Large Br's On Upper Level, Ground Floor Laundry Room! Massive Unspoiled Basement And Cold Room. Minimal Yard Maintenance With Artificial Grass. Watch The Sun Set Sitting On Large Front Porch! Close To Go Station, Main St.","Fridge, B/I:Cooktop, Oven, Microwave And Dishwasher. Washer, Dryer, Water Softener, Hot Water Tank(Owned), Bbq, A/C, Water Filter System, Elfs, Window Covers,Central Vac & Equipment Exclude: Curtains In Office & Great Room, Rooftop Antenna",71 Bartsview Circ,L4A 0W3,Whitchurch-Stouffville,Full,Unfinished
Link,2-Storey,Whitchurch-Stouffville,Stouffville,3/1/2021,5/18/2021,2/19/2021,,"$788,800",,"$3,681.24",Betula,15,Ter,10,,3,,3,25.26,2,91,Built-In,None,N5120766,Offers To Be Presented Feb 28th At 5Pm*Seller Reserves The Right To Review & Accept Any Pre-Emptive Offers. 24Hr Irrev As Per Sellers Request.Attach Schedule B & 801 To Offers. Buyer/Buyers Agent To Verify All Msrmnts & Taxes. 5% Dep. Bank Drft Offers To Vince.Bruno@Century21.Ca,"First Time On The Market! Well Kept By The Original Owner! Wonderful 3 Bed, 3 Bath Linked By Garage Home Offers An Excellent Location Within An Established Neighbourhood. Park, Tennis Court, School, All Within Walking Distance. Great Location For Starting A Family Or Empty Nesters! Hardwood Floors, Updated Bathrooms, Extra-Long Driveway Can Park 2 Cars Plus 1 In Garage! Access From Garage Into Home And From Garage To Backyard!. Shows Pride Of Ownership.","Includes; Existing Fridge, Gas Stove, Dishwasher, Water Softner, Washer And Dryer, All Electric Light Fixtures, Ceiling Fan, Backyard Shed. Exclude; Curtain And Rods In Living Room. Hot Water Tank Is A Rental.",15 Betula Gate,L4A0V2,Whitchurch-Stouffville,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/22/2021,6/30/2021,2/15/2021,2/22/2021,"$998,000","$998,000","$4,405.90",Booth,127,Sld,7,100,3,2,4,60.61,4,100,Attached,None,N5117194,"No Showings At All! Only W Conditional Offer. Any/All Inquiries Contact 3rd La: Lindsey Lumsden 416-268-4869 /Lindsey@Trentaduetorres.Com. Offers Anytime, Buyer/Buyer's Agent To Verify All Information.","Beautiful Family Home On A Quiet Mature Street In The Heart Of Stouffville. Newly Renovated & Updated From Top To Bottom. Open Concept, Hardwood Floors, Quartz Counters & Backsplash, Pot Lights, Crown Moulding, Finished Basement, Direct Access To Garage, & Cozy Covered Front Porch. Walking Distance To Main Streets Coffee Shops & Restaurants, Memorial Park For All The Town Events & Go Station. Prime Location On One Of The Most Desired Streets In Town.","No Showings Due To Covid! Only W Conditional Offer. S/S Fridge S/S Stove, S/S Dishwasher, Washer, Dryer, All Light Fixtures, Hwt(Rental Approx $25/Mth)",127 Booth Dr,L4A 4S1,Whitchurch-Stouffville,Finished,
Semi-Detach...,2-Storey,Whitchurch-Stouffville,Stouffville,3/24/2021,5/18/2021,3/16/2021,,"$899,000",,"$3,847.92",Brown,31,Ter,8,,3,,4,24.63,2,92,Attached,None,N5153262,Offers Received With Thanks To Wendymusto@Hotmail.Com Master Bedroom Windows Glass Will Be Replaced Prior To Closing,"Ideally Located, Within Walking Distance To The New Barbara Reed P.S ,Tennis & Basketball Courts,Water Park & Outdoor Skating Rink. Beautiful Fieldgate Built 3 Bedroom, 4 Washroom, 1655 Square Foot Semi Detached Home With A Finished Basement. Oversize Sunny Upstairs Family Room Is Ideal For Entertaining Or Could Be Converted To 4th Bedroom. Basement Has A 3 Pc Washroom And Stone Feature Wall With Electric Fireplace. Hot Tub (Negotiable) New Deck 2020","Include: S/S Fridge,B/In Dishwasher,B/In Microwave,Stove,Washer,Dryer,Water Softener, Gdo & Remote All Light Fixtures, All Window Treatments,Central Vac And Attachments (Negotiable-Basement Freezer, Bbq,Hot Tub) Hwt Is A Rental",31 Brown Lane,L4A0V1,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/24/2021,7/30/2021,3/18/2021,3/23/2021,"$1,158,800","$1,200,000","$5,340.71",Butterwood,18,Sld,5,104,4,,4,40.02,2,85,Attached,None,N5157516,"Registrant Related To Seller. Covid Protocol; Masks & Sanitizer. Surveillance In Place. Att Schedule ""B"", Disclosure & Survey To Offer. , Pls Register Offers W/Att'd Form""801 & Email To Corapeirson@Sympatico.Ca.","Elegant, Greenpark Home In Prime Stouffville Community. Walk To Byers Pond, Gleaming Hardwood Floors Throughout, 2 Ensuites On 2nd Floor. Access To Basement Stairs From Garage Door, In-Law Potential. 9Ft Ceilings, Family Rm W/Gas Fireplace, Open To Spacious Eat-In Kitchen W/Granite Counter, Backsplash, S/S Stove, D/W, Micro/Hood, W/O To Stone Patio. Custom Fitted Cabinetry In Main Flr Laundry. 4 Large Bedrooms,W/++ Closet Space. Pride Of Ownership!","40' Wide Lot, Prof Landscaped Back & Front, Interlock Patio W/Privacy Screen. Gas Hook Up, Fenced. Water Softener(O).Exclude: Freezer,Washer, Dryer, Tv Brackets X2, Dyson Vac,Speakers In Bsmt,Work Bench In Garage. Hwh(R)",18 Butterwood Lane,L4A 0M7,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/14/2021,3/31/2021,1/7/2021,1/13/2021,"$1,198,888","$1,170,000","$5,681.29",Butterwood,53,Sld,6,98,4,,4,12.2,4,32,Attached,None,N5078197,"Must Follow All Covid19 Safety Precautions Mask Gloves Must Be Worn, Showing Anytime. Buyer & Co-Op Agent To Verify All Information/Taxes, Measurements. Pls Attch Sch B & 801. 5% Bank Draft Certi Chq Deposit.","Immaculate Detached Sunfilled Green Park Builder Home ,W/18Ft Ceiling In Foyer.Huge Kitchen W/Large Eat In Area.Extra Wall To Wall Kitchen Cup Boards,Gas Fireplace In Fam Rm W/Arched Window. Hardwood Flr In Main Flr,Upgraded Oakwood Staircase,Master Bedrm W/5Pc Ensuite Double Dr Entrance&2 Huge Closet & 2nd Master Bedrm W/4Pc Ensuite,No Sidewalk In Driveway Stone Walkway,Front Sitting Varanda, Upgraded Stone In Front Side. Living Room Area Use As Dining.","All Elfs Broadloom W/L Stainless Steels Fridge, Stove Glass Cooktop, B/I Dishwasher Washer & Dryer,Central Air,Central Vac, Garage Door Opener, All Window Covering Drapes Sheer Blinds, Humidifier, Water Softener System,Air Purifying System",53 Butterwood Lane,L4A0R64,Whitchurch-Stouffville,Unfinished,
Semi-Detach...,2-Storey,Whitchurch-Stouffville,Stouffville,3/23/2021,6/30/2021,3/5/2021,3/20/2021,"$899,900","$902,000","$3,934.56",Byers Pond,51,Sld,14,100,3,1,4,24.61,2,85,Attached,None,N5138928,"Plz Attach Sch B /801 Offer. Certify Deposit Cheque Or Bank Draft. Buyer Or Buyer Agent Need To Verify Measurements & .Please Follow Covid -19 Prtocol,Must Wear Mask , ***Offers Anytime Please Present All Offers!!Profetionally Finshed Basement With Perm**Selelrs Motivated!!**Offe","Absolutely Gorgeous ,3 +1Bedrooms Plus Den /Newly Finished Basement With Bed Room And Full Washroom, ,4 Washrooms Semi-Detached Family Home Located Close To All Amenities. Hardwood Floors Through-Out ,Upgraded Kitchen With Quartz Counter Top Ceramic Back Splash,W/ Stainless Steel Appliances. Direct Access To Garage From Inside. Fully Fenced Backyard With Patio. Functional Layout. Excellent School Zone. Walk To Park. A Must See To Truly Appreciate.Beautiful","All Existing Electric Light Fixtures,Kitchenaid S/S Dble Dr Fridge,S/S Stove Induct,S/S B/I Microwave,S/S Dishwasher,Lg Front Load Washer/Dryer,Cac,High Efficiency Furnace,Hot Water Tankless Water Tank (( Owned),All Window Coverinngs. ***",51 Byers Pond Way,L4A0R4,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/25/2021,6/30/2021,3/11/2021,,"$999,900",,"$4,884.17",Byers Pond,43,Ter,11,,4,,4,36,2,85,Attached,None,N5148433,"Attach Schedule B & Form 801 W Offer: Kirikurusamy@Hotmail.Com. Offer Will Be Reviewed At 7 Pm On Mar 22nd, Please Register Offer By 5 Pm. Sellers Reserve The Right To Accept Preemptive Offers. Must Certify The Deposit Cheque. The Buyer Or Buyer's Agent Has To Verify All Taxes.","Beautiful Family Home In The Sought Out Community Of Stouffville! Amazing Views Of The Park Across The Rd. 4 Bdrm & 4 Bathrm Detached Home With $$$ Spent In Upgrades Incl:Hrdwood T/O,Freshly Painted, California Shutters,Smooth Ceiling,Pot Lights, Quartz Countertops, Upgraded Kitchn Cabinets W Backsplash. Large Open Concept Kitchen W W/O To Entertaining Size Deck & Gazebo. Fin Bsmnt W/ Area Roughed In For Kitchn, 3 Pc Bthrm And Rec Rm. Great Amenities Nearby!",All Stainless Steel Appliances And Washer/Dryer Included.Existing Window Coverings & Existing Light Fixture. Gazebo. Exclude Outdoor Patio Furniture. Hot Water Rntl.,43 Byers Pond Way,L4A0R4,Whitchurch-Stouffville,Finished,
Att/Row/Twn...,2-Storey,Whitchurch-Stouffville,Stouffville,2/12/2021,7/31/2021,2/11/2021,2/11/2021,"$788,000","$950,000","$3,900.59",Cabin Trail,6,Sld,0,121,3,,4,20.01,2,128,Attached,None,N5111861,*Pre-Emptive Offer Received. Offers Being Reviewed Feb 11th At 8Pm. Original Offer Date Feb 16th Advanced To Feb 11th. Follow Covid Guidelines. Attach Schedule B & 801 To All Offers. Seller Reserves Right To Consider Pre-Emptive Offer. Email To: Danielegmessina@Gmail.Com,"Absolutely Stunning From Top-To-Bottom. Enjoy This Approx. 1700Sq.Ft. Home **Plus** A Fully Finished Basement!! *Amazing Layout, Tons Of Storage & Spacious!* *Hardwood Floor Thru-Out! *Upgraded Kitchen W/Stainless Steel Appliances *Walk-Out To Landscaped Backyard Oasis W/Premium Deep Lot & Deck!* *Huge Master W/Jacuzzi Tub & Separate Shower! Amazing Location In A Quiet Family Neighbourhood Close To: Schools, Shops, Parks, Walking Trails & Restaurants!","S/S-Fridge, S/S-Gas Stove, B/I-Dishwasher, B/I-Microwave, Washer/Dryer, All Elf's, All Blinds, Cac, Gb&E Central Vac, Electric Fireplace, Skylight, Soft Water Filtration System(O), Gdo & Remote *Over-Sized Garage W/Access To House And Yard!",6 Cabin Trail Cres,L4A0S6,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/12/2021,8/3/2021,3/3/2021,3/11/2021,"$799,900","$990,000","$4,541.84",Cabin Trail,27,Sld,8,124,3,,4,34.12,1,86,Attached,None,N5135488,"Follow Covid19 Prtcl. Offer Pres: March 11, 2021 At 7Pm, Register By 5Pm. Email Offers To Jenineaquino@Gmail.Com. Attach Sch. B & Form 801. Requires 5% Deposit. Sellers Have Right To Entertain/Accept Preemptive Offer. Buyer+Buyer's Agent Must Verify Taxes And Measurements.Sellers","Absolutely Stunning Detached Home, In The Heart Of Stouffville. Original Owner, Renovated (2020) From Top To Bottom. Enjoy This Approx. 1800 Sq Ft Home Plus A Fully Finished Basement. Hardwood Floors On The Main & Second Floor Areas. W/O To A Fully Fenced Yard, And A Nice Deck Awaits You. Amazing Location In A Quiet Family Neighbourhood. Close To Schools ,Shops, Parks, Walking Trails + Restaurants, Go Train, Library, Rec Centre.","S/S Stove, S/S Fridge, S/S Dishwasher, S/S Range Hood, Washer & Dryer, All Electrical Fixtures, Window Coverings. Garage Door Opener. Hwt (Rental).Seller Does Not Warrant Retrofit Status Of Bsmnt",27 Cabin Trail Cres,L4A0S5,Whitchurch-Stouffville,Finished,
Att/Row/Twn...,2-Storey,Whitchurch-Stouffville,Stouffville,1/24/2021,5/30/2021,1/22/2021,1/22/2021,"$849,000","$940,000","$3,905.89",Cabin Trail,10,Sld,0,111,3,,3,23.11,2,126,Attached,None,N5091259,Please Follow Covid Protocols And Attach Schedule B And 801 To Offer. Offers Will Be Presented January 25th At 4:00Pm. Seller Will Consider Preemptive Offers. Thank You For Showing.,"Shows Like A Model !! This Gem Is Within Walking Distance Within Schools, Parks, Shops! End Unit Presents Like A Semi. Freshly Painted, Rich Hardwood Flooring In Family Room And Upstairs Hall. Bright Modern Kitchen With Quartz Counter Tops. Professional Finished Basement With Oversized Rec Room. Laundry, Cold Cellar, Storage Room, Picturesque Private Backyard -Custom Patio, Mature Trees,Lush Gardens And Charming Front Covered Porch.","All Elfs, All Window Coverings,Ceiling Fans,Fridge, Stove, B/I Dishwasher, Range Hood, Washer, Dryer, Fridge In Basement. Cac, R/I Cvac, Gas Fireplace, Oak Staircase, Water Softener, Hwt (R). New Broadloom In Master Bedroom And 3rd Bedroom.",10 Cabin Trail,L4A 0S6,Whitchurch-Stouffville,Finished,
Semi-Detach...,2-Storey,Whitchurch-Stouffville,Stouffville,3/17/2021,5/31/2021,3/12/2021,3/16/2021,"$849,000","$880,000","$3,884.15",Cabin Trail,41,Sld,3,104,3,1,4,24.6,1,86,Built-In,None,N5148569,Min 5% Cert. Deposit. All Appliances In 'As Is' Condition. 48 Hr Irrevocable Offers Attach Schedule B And Form 801. Seller & Seller's Agent Do Not Warrant Retrofit Status Of Basement Apartment/Suite. Covid Procedures In Effect.,"A Lovely 3 Bedroom 4 Washroom Semi-Detached Home In The Heart Of Stouffville. Finished Basement W/ In-Law/Nanny Suite Complete W/ Kitchen, Rec-Room, Bedroom & 3Pc. Washroom. Large Master W/Spa-Like 4Pcs Ensuite & W/I Closet. Unique 2nd Floor Family/Den Room Can Easily Be Used As A 4th Bedroom. This Home Features All Of The Finishes You Desire: Oak Stairs, Hardwood Floors, Direct Access To Garage, Lots Of Natural Light. Close To Parks, Trails, Shopping.","Fridge, Stove, B/I Dishwasher, Washer, Dryer, Basement Fridge & Stove. All Existing Window Coverings & Light Fixtures, Central Air Conditioning. Electronic Garage Door Opener.",41 Cabin Trail Cres,L4A0S5,Whitchurch-Stouffville,Apartment,Finished
